query,gold,group,ans_dense,ans_bm25,ans_hybrid,ans_threshold,ans_aurora,trust_score,decision,r1_dense,r1_bm25,r1_hybrid,r1_threshold,r1_aurora,r2_dense,r2_bm25,r2_hybrid,r2_threshold,r2_aurora,rL_dense,rL_bm25,rL_hybrid,rL_threshold,rL_aurora,abstained_threshold,abstained_aurora
"Considering the given patient's symptoms, suggest a suitable over-the-counter medication: The patient, a 32-year-old man, is experiencing mild pain and inflammation in his knee after a sports injury.","A suitable over-the-counter medication for the patient's symptoms would be ibuprofen, which can help alleviate pain and reduce inflammation.",Lifestyle Advice,"A suitable over-the-counter medication for the patient's symptoms would be ibuprofen, which can help alleviate pain and reduce inflammation. If you cannot move your knee or put any weight on it, you should call 111 for urgent advice and they will tell you what to do.","symptoms suggest the possibility of acute cholecystitis. The primary symptom in the patient's description is severe, throbbing headaches. A possible diagnosis is migraine. An appropriate over-the-counter medication to help relieve the pain would be paracetamol or ibuprofen.","The best treatment option for the patient's symptoms is B) a proton pump inhibitor (PPI) PPIs work by reducing the amount of stomach acid produced, thus relieving symptoms like heartburn and acid reflux often associated with GERD. Over-the-counter antacids may provide temporary relief but are not suitable for long-term management of frequent heartburn.","The best treatment option for the patient's symptoms is B) a proton pump inhibitor (PPI) PPIs work by reducing the amount of stomach acid produced, thus relieving symptoms like heartburn and acid reflux often associated with GERD. Over-the-counter antacids may provide temporary relief but are not suitable for long-term management of frequent heartburn.","The best treatment option for the patient's symptoms is B) a proton pump inhibitor (PPI) PPIs work by reducing the amount of stomach acid produced, thus relieving symptoms like heartburn and acid reflux often associated with GERD. Over-the-counter antacids may provide temporary relief but are not suitable for long-term management of frequent heartburn.",0.4128,escalate,0.6197183098591549,0.45161290322580644,0.3037974683544304,0.3037974683544304,0.3037974683544304,0.6086956521739131,0.2,0.1558441558441558,0.1558441558441558,0.1558441558441558,0.6197183098591549,0.2903225806451613,0.17721518987341772,0.17721518987341772,0.17721518987341772,0,0
What are the early symptoms of CBD?,"Early symptoms of CBD may involve limb problems which include clumsy or ""useless"" hand, muscle stiffness, shaking hands, and muscle spasms (dystonia). Some people also develop problems with walking and coordination. References: - https://www.nhs.uk/conditions/corticobasal-degeneration/symptoms/",Symptoms and Self-Help,"Early symptoms of CBD may involve limb problems which include clumsy or ""useless"" hand, muscle stiffness, shaking hands, and muscle spasms (dystonia) Walking, balance and coordination may get worse with speech that becomes slow and slurred. Some people with CBD also have dementia, although this doesn't always occur.","CBD occurs when brain cells in certain parts of the brain are damaged as a result of a build-up of a protein called tau. Tau occurs naturally in the brain and is usually broken down before it reaches high levels. In people with CBD, it isn't broken down properly and forms harmful clumps in brain cells.","Early symptoms of CBD may involve limb problems which include clumsy or ""useless"" hand, muscle stiffness, shaking hands, and muscle spasms (dystonia) Some people also develop problems with walking and coordination. One limb is usually affected at first, before spreading to the rest of the body.","Early symptoms of CBD may involve limb problems which include clumsy or ""useless"" hand, muscle stiffness, shaking hands, and muscle spasms (dystonia) Some people also develop problems with walking and coordination. One limb is usually affected at first, before spreading to the rest of the body.","Early symptoms of CBD may involve limb problems which include clumsy or ""useless"" hand, muscle stiffness, shaking hands, and muscle spasms (dystonia) Some people also develop problems with walking and coordination. One limb is usually affected at first, before spreading to the rest of the body.",0.5007,escalate,0.6516853932584269,0.12244897959183673,0.7209302325581396,0.7209302325581396,0.7209302325581396,0.5287356321839081,0.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.5617977528089888,0.10204081632653061,0.7209302325581396,0.7209302325581396,0.7209302325581396,0,0
What are the treatments for Aicardi-Goutieres Syndrome Disorder ?,"Depending upon the severity of symptoms, children may require chest physiotherapy and treatment for respiratory complications. To ensure adequate nutrition and caloric intake, some infants may require special accommodations for diet and feeding. Seizures may be managed with standard anticonvulsant medications. Children should be monitored for evidence of glaucoma in the first few months of life, and later for evidence of scoliosis, diabetes, and underactive thyroid.The prognosis depends upon the severity of symptoms.",6_NINDS_QA,Aicardi-Goutieres syndrome is a rare disorder. The prognosis depends upon the severity of symptoms. Almost all children with AGS have mild to severe intellectual and physical impairment. Current research is aimed at finding new methods for treating and ultimately preventing or curing AGS.,"Aicardi-Goutieres syndrome is an inherited condition that mainly affects the brain, immune system, and skin. Most cases are inherited in an autosomal recessive pattern, although rare autosomal dominant cases have been reported. Treatment is symptomatic and supportive.",There is no cure for Aicardi syndrome nor is there a standard course of treatment. Treatment generally involves medical management of seizures and programs to help parents and children cope with developmental delays. Long-term management by a pediatric neurologist with expertise in the management of infantile spasms is recommended.,Insufficient evidence available to answer reliably.,Insufficient evidence available to answer reliably.,0.2,insufficient,0.2542372881355932,0.08928571428571429,0.25806451612903225,0.0,0.0,0.12068965517241378,0.0,0.01639344262295082,0.0,0.0,0.1864406779661017,0.07142857142857144,0.14516129032258066,0.0,0.0,1,1
Is a high quality diet associated with reduced systemic inflammation in middle-aged individuals?,"In this cross-sectional study, we found that a high diet quality is associated with lower systemic inflammation. As the incidence of cardiovascular disease and cancer is directly correlated with the levels of inflammation, our findings might indicate a protective role of high-quality diet.",General Health and Risk Factors,"Dietary methionine intake may increase the risk of acute coronary events in middle-aged Finnish men free of prior CHD. dyslipidemia is associated with an increased inflammatory status, even in well-controlled diabetics. Whole-grain intake is a modifiable dietary risk factor, and older and young adults should be encouraged to increase their daily intake to > or = 3 servings/d.","Older adults with better diet quality had a reduced likelihood of having eGFR <60 mL min. Adherence to dietary guidelines was not prospectively associated with CKD incidence or progression. The Mediterranean diet is rich in fruits, vegetables, whole grains, legumes, nuts, and healthy fats.","A high diet quality is associated with lower systemic inflammation. As the incidence of cardiovascular disease and cancer is directly correlated with the levels of inflammation, our findings might indicate a protective role of high-quality diet. Findings suggest that diets that are more Paleolithic- or Mediterranean-like may be associated withLower levels of systemic inflammation and oxidative stress in humans.","A high diet quality is associated with lower systemic inflammation. As the incidence of cardiovascular disease and cancer is directly correlated with the levels of inflammation, our findings might indicate a protective role of high-quality diet. Findings suggest that diets that are more Paleolithic- or Mediterranean-like may be associated withLower levels of systemic inflammation and oxidative stress in humans.",Insufficient evidence available to answer reliably.,0.2108,insufficient,0.1904761904761905,0.2921348314606741,0.7358490566037736,0.7358490566037736,0.0,0.038834951456310676,0.04597701149425287,0.6923076923076923,0.6923076923076923,0.0,0.1142857142857143,0.15730337078651688,0.6981132075471698,0.6981132075471698,0.0,0,1
How can Feldenkrais method help your back pain?,Here are 12 ways to help alleviate back pain: Studies show that people with short-term low-back pain who rest feel more pain and have a harder time with daily tasks than those who stay active. One good exercise is to sit on the edge of the bed with one leg extended and the other one on the floor.,General Medical Conditions and Treatments,"Teachers of the Alexander technique believe it helps get rid of tension in your body and relieves problems such as back pain, neck ache, sore shoulders and other musculoskeletal problems. Evidence suggests the technique has the potential to improve certain health conditions such as long-term back pain.","Cognitive behavioral therapy ( CBT) can often lessen back pain, change how you think about your levels of pain and disability, and even lift depression. With techniques like electrical stimulation, ultrasound, heat, and muscle relaxation, these specialists help you get more mobile and flexible.","Teachers of the Alexander technique believe it helps get rid of tension in your body and relieves problems such as back pain, neck ache, sore shoulders and other musculoskeletal problems. Evidence suggests the technique has the potential to improve certain health conditions such as long-term back pain.",Insufficient evidence available to answer reliably.,"The Alexander Technique, Pilates, and the Feldendkrais Method are all specialized forms of body work that help you learn to move in a more coordinated, flexible, and graceful manner. They may help you become more aware of your movements and may help relieve stress.",0.4069,escalate,0.2592592592592593,0.17475728155339806,0.2592592592592593,0.0,0.2115384615384615,0.05660377358490566,0.039603960396039604,0.05660377358490566,0.0,0.0196078431372549,0.11111111111111112,0.11650485436893203,0.11111111111111112,0.0,0.11538461538461538,1,0
What is a coronary artery bypass graft?,A coronary artery bypass graft is a surgical procedure used to treat coronary heart disease. It diverts blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart. References: - https://www.nhs.uk/conditions/coronary-artery-bypass-graft-cabg/,Diagnostic Tests,"A coronary artery bypass graft is a surgical procedure used to treat coronary heart disease. It diverts blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart. This is done by taking a piece of healthy blood vessel, often from the leg, and attaching it to the blocked artery.","Coronary artery bypass graft (CABG) is a surgical procedure that improves blood flow to the heart by bypassing blocked or narrowed arteries. It may be required to improve the functioning of the heart in cases of severe damage, such as in heart rupture or cardiogenic shock.","A coronary artery bypass graft is a surgical procedure used to treat coronary heart disease. It diverts blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart. This is done by taking a piece of healthy blood vessel, often from the leg, and attaching it to the blocked artery.","A coronary artery bypass graft is a surgical procedure used to treat coronary heart disease. It diverts blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart. This is done by taking a piece of healthy blood vessel, often from the leg, and attaching it to the blocked artery.","Coronary artery bypass grafting (CABG) is a surgery that is carried out in people whose arteries are narrowed or blocked. It diverts blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart. This is done by taking a piece of healthy blood vessel, often from the leg, and attaching it to the blocked artery.",0.3272,escalate,0.7102803738317757,0.5106382978723404,0.7102803738317757,0.7102803738317757,0.5714285714285715,0.6857142857142856,0.2826086956521739,0.6857142857142856,0.6857142857142856,0.4727272727272727,0.7102803738317757,0.3404255319148936,0.7102803738317757,0.7102803738317757,0.5178571428571429,0,0
What are the symptoms of Prevent diabetes problems: Keep your nervous system healthy ?,"Nerve damage symptoms depend on which nerves have damage. Some people have no symptoms or mild symptoms. Other people have painful and long-lasting symptoms. As most nerve damage develops over many years, a person may not notice mild cases for a long time. In some people, the onset of pain may be sudden and severe.",5_NIDDK_QA,"Nerve damage symptoms depend on which nerves have damage. Some people have no symptoms or mild symptoms. Other people have painful and long-lasting symptoms. The main symptoms of peripheral neuropathy include numbness and tingling in the feet or hands, burning, stabbing or shooting pain in affected areas.",Your nervous system carries signals between your brain and other parts of your body. Nerves are bundles of special tissues that transmit these signals. The nerves in your spinal cord branch out to all of your organs and body parts. Too much glucose in the blood for a long time can cause diabetes problems.,"Nerve damage symptoms depend on which nerves have damage. Some people have no symptoms or mild symptoms. Other people have painful and long-lasting symptoms. Treatment for nerve damage from diabetes is based on your symptoms. No treatment can reverse nerve damage; however, it can help you feel better.",Insufficient evidence available to answer reliably.,"Nerve damage symptoms depend on which nerves have damage. Some people have no symptoms or mild symptoms. Other people have painful and long-lasting symptoms. Treatment for nerve damage from diabetes is based on your symptoms. No treatment can reverse nerve damage; however, it can help you feel better.",0.2633,escalate,0.576923076923077,0.21818181818181817,0.5333333333333333,0.0,0.5333333333333333,0.4705882352941176,0.05555555555555555,0.48543689320388356,0.0,0.48543689320388356,0.5384615384615384,0.12727272727272726,0.5142857142857142,0.0,0.5142857142857142,1,0
What are possible side effects from 3-D conformal radiation therapy for prostate cancer?,"See Radioactive Seed Implants for more about this type of radiation therapy for prostate cancer. Hair loss may occur in the area being radiated. Nausea and vomiting are uncommon unless the upper abdominal areas are radiated. Mild fatigue. Frequent urination, a weak urine stream, or a mild burning with urination. Diarrhea, though uncontrolled diarrhea is rare. Because the radiation beam passes through normal tissues, such as the rectum, bladder, and intestines on its way to the prostate, it kills some healthy cells. This is why diarrhea may result. Possible long-term problems, including proctitis (inflammation of the rectum) with bleeding, bowel problems such as diarrhea, incontinence, and impotence.",Chemotherapy and Cancer Treatments,"Hair loss may occur in the area being radiated. Nausea and vomiting are uncommon unless the upper abdominal areas areRadiation passes through normal tissues, such as the rectum, bladder, and intestines on its way to the prostate. Diarrhea, though uncontrolled diarrhea is rare.","Conformal proton beams therapy produced high rates of response and minimal toxicity. The onset of erectile dysfunction following radiation therapy is gradual and usually begins about six months following the treatment. Diarrhea, blood in their stool, and other bowel problems are common side effects.","Some men have side effects from radiation, such as: Diarrhea, blood in their stool, and other bowel problems Trouble controlling urination, or a leaky bladder. Erectile dysfunction is the most common long-term complication of radiation therapy. Male hormones like testosterone fuel the growth of prostate cancer cells.","Some men have side effects from radiation, such as: Diarrhea, blood in their stool, and other bowel problems Trouble controlling urination, or a leaky bladder. Erectile dysfunction is the most common long-term complication of radiation therapy. Male hormones like testosterone fuel the growth of prostate cancer cells.","Some men have side effects from radiation, such as: Diarrhea, blood in their stool, and other bowel problems Trouble controlling urination, or a leaky bladder. Erectile dysfunction is the most common long-term complication of radiation therapy. Male hormones like testosterone fuel the growth of prostate cancer cells.",0.2482,escalate,0.5562913907284769,0.2236842105263158,0.3205128205128205,0.3205128205128205,0.3205128205128205,0.5234899328859061,0.026666666666666665,0.1038961038961039,0.1038961038961039,0.1038961038961039,0.5033112582781457,0.13157894736842105,0.15384615384615383,0.15384615384615383,0.15384615384615383,0,0
How can I increase my milk supply for my premature baby?,"Expressing milk often, ideally at least eight times a day including at least once at night, will help keep milk supply up. In the early days, hand expression is often easier, and you can collect your breast milk in a small, sterile cup and store it in a syringe. Once you are producing more milk, you can try using a breast pump. You can receive advice from midwives or breastfeeding supporters on how to increase your milk supply. References: - https://www.nhs.uk/conditions/baby/breastfeeding-and-bottle-feeding/breastfeeding/premature-baby/",Awareness and Support,"Expressing milk often, ideally at least eight times a day including at least once at night, will help keep milk supply up. In the early days, hand expression is often easier, and you can collect your breast milk in a small, sterile cup and store it in a syringe. Once you are producing more milk, you can try using a breast pump.","If your premature baby is too small or sick to breastfeed, you can begin collecting your breast milk (by expressing) as soon as possible after the birth. Regular expressing will help establish your milk supply and the milk can be frozen and given to your baby later. Once you and your baby are ready,you can begin breastfeeding from the breast.","Expressing milk often, ideally at least eight times a day including at least once at night, will help keep milk supply up. In the early days, hand expression is often easier, and you can collect your breast milk in a small, sterile cup and store it in a syringe. Once you are producing more milk, you can try using a breast pump.","Expressing milk often, ideally at least eight times a day including at least once at night, will help keep milk supply up. In the early days, hand expression is often easier, and you can collect your breast milk in a small, sterile cup and store it in a syringe. Once you are producing more milk, you can try using a breast pump.",Insufficient evidence available to answer reliably.,0.1039,insufficient,0.8051948051948052,0.4444444444444444,0.8051948051948052,0.8051948051948052,0.0,0.8026315789473685,0.1324503311258278,0.8026315789473685,0.8026315789473685,0.0,0.8051948051948052,0.19607843137254902,0.8051948051948052,0.8051948051948052,0.0,0,1
Will my baby be checked during my postnatal check?,"No, but your baby should be checked at around the same time by a GP, which is known as the baby's 6 to 8 week check. References: - https://www.nhs.uk/conditions/baby/support-and-services/your-6-week-postnatal-check/",Awareness and Support,"Your baby should be checked at around the same time by a GP. Your mental health and wellbeing will be discussed. vaginal discharge and period history will be checked. Your blood pressure may be checked, an examination may be done to see if your stitches have healed. You may be asked about contraception, and advice about vitamin D supplements may be given.","If you're overweight or obese with a body mass index (BMI) of 30 or more, you may be weighed. Your doctor should give you weight loss advice and guidance on healthy eating and physical activity. Postnatal depression is a common condition that can affect new mothers, and early intervention is key.","No, but your baby should be checked at around the same time by a GP. Your postnatal check can be done immediately before or after your baby's 6 to 8 week check. But it can also be done at a separate time if you would like it to be.","No, but your baby should be checked at around the same time by a GP. Your postnatal check can be done immediately before or after your baby's 6 to 8 week check. But it can also be done at a separate time if you would like it to be.","No, but your baby should be checked at around the same time by a GP. This is known as the baby's 6 to 8 week check. Your mental health and wellbeing will be discussed, your vaginal discharge and period history will be checked, your blood pressure may be checked and an examination may be done to see if your stitches have healed.",0.3864,escalate,0.34615384615384615,0.1702127659574468,0.5434782608695652,0.5434782608695652,0.5523809523809524,0.2352941176470588,0.0,0.4666666666666667,0.4666666666666667,0.4660194174757281,0.30769230769230765,0.10638297872340424,0.4782608695652174,0.4782608695652174,0.5523809523809524,0,0
What nerve problems can you get if you have type 1 diabetes?,"When diabetes causes high levels of sugar along with high blood pressure for years, it can raise the risk of nerve damage. It might cause problems in areas like: Feet, hands, arms, and legs. They may lose feeling in their limbs, or they might become weak or have burning, tingling, or cold sensations. They might get sores on their feet. Bladder. It may be hard for your child to know when to go to the bathroom, or they may leak urine. Digestive system. They can have trouble swallowing, stomach pain, nausea, diarrhea, constipation, or vomiting. Sweat glands. They may sweat a lot while sleeping or eating. Eyes. It may be hard to see changes in light. Heart. Heart rate and blood pressure are both controlled by nerves. Your child may become dizzy, short of breath, or even faint because of nerve damage.",Diabetes and Related Health Issues,"Diabetes-related nerve damage, or neuropathy, can lead to numbness, tingling, sexual problems and digestive difficulties like constipation or diarrhea. People with diabetes can also get other nerve-related conditions, such as nerve compressions (entrapment syndromes)","Diabetes can cause problems with the blood vessels that deliver blood to the kidneys. About 30% of people with type 1 will have kidney failure at some point in their lives. They may lose feeling in their limbs, or they might become weak or have burning, tingling, or cold sensations.","Diabetes-related nerve damage, or neuropathy, can lead to numbness, tingling, sexual problems and digestive difficulties like constipation or diarrhea. Kidney disease (nephropathy) Heart disease Stroke High blood pressure Nerve disease (neuropathy) Foot problems, including ulcers Eye disease (retinopathy) Skin infections Gum disease (inflammation and infection)",Insufficient evidence available to answer reliably.,"When diabetes causes high levels of sugar along with high blood pressure for years, it can raise the risk of nerve damage. It might cause problems in areas like: Feet, hands, arms, and legs. Your child may become dizzy, short of breath, or even faint.",0.5132,escalate,0.21348314606741572,0.34374999999999994,0.22340425531914893,0.0,0.4812834224598931,0.022727272727272728,0.2105263157894737,0.043010752688172046,0.0,0.4648648648648649,0.11235955056179775,0.27083333333333337,0.1276595744680851,0.0,0.4812834224598931,1,0
Does why perirenal disease extend into the pelvis : the importance of closure of the cone of the renal fasciae?,"There is an anatomic barrier between the inferior perirenal space and the extraperitoneal pelvis formed by the fusion of the leaves of the renal fasciae into a single multilaminar fascia that acts as a barrier of disease extension. The multilaminar nature of this fascia, however, may also act as a filter, allowing some permeability between its layers. This potential interlaminar pathway is rare and is manifested as fascial thickening on CT scans. This laminar filter-barrier observation explains the lack of extension of perirenal diseases into the pelvis.",Clinical Practices and Medical Devices,"There is an anatomic barrier between the inferior perirenal space and the extraperitoneal pelvis. The multilaminar nature of this fascia may also act as a filter, allowing some permeability between its layers. This potential interlaminar pathway is manifested as fascial thickening on CT scans.","Transitional cell cancer of the renal pelvis and ureter is also described as localized, regional, or metastatic. There are three ways that cancer spreads in the body. Cancer can spread through tissue, the lymph system, and the blood. When cancer spreads to another part of the body, it is called metastasis.",There is an anatomic barrier between the inferior perirenal space and the extraperitoneal pelvis. The multilaminar nature of this fascia may also act as a filter. This potential interlaminar pathway is rare and is manifested as fascial thickening on CT scans.,Insufficient evidence available to answer reliably.,"Transitional cell cancer of the renal pelvis and ureter is also described as localized, regional, or metastatic. There are three ways that cancer spreads in the body. Cancer can spread through tissue, the lymph system, and the blood. When cancer spreads to another part of the body, it is called metastasis.",0.2617,escalate,0.6666666666666666,0.2446043165467626,0.6356589147286822,0.0,0.2446043165467626,0.6307692307692309,0.0583941605839416,0.5826771653543307,0.0,0.0583941605839416,0.6666666666666666,0.12949640287769787,0.6356589147286822,0.0,0.12949640287769787,1,0
Is participation in organized sports positively associated with employment in adults with spinal cord injury?,"In the adults with chronic spinal cord injury, participation in organized sports was positively associated with employment. Further studies are necessary to determine the causative nature of this association and how various factors related to sports participation may contribute.",General Health and Risk Factors,participation in organized sports was positively associated with employment in adults with spinal cord injury. FES training offers several interesting clinical benefits in a patient with SCI. Further studies are necessary to determine the causative nature of this association and how various factors related to sports participation may contribute.,"Robotic-assisted locomotor training improves ankle joint control, which may translate into enhanced walking performance in individuals with chronic incomplete spinal cord injury. Participation in a sport that adolescents perceive as emphasizing weight is strongly associated with unhealthful weight-control behaviors and steroid use. Preventive efforts, targeting parents, coaches, and adolescents are needed to decrease this risk.","Team sports participation entailed a higher injury risk, whatever the injury category. The study shows that participation in a sport that adolescents perceive as emphasizing weight is strongly associated with unhealthful weight-control behaviors and steroid use. Preventive efforts, targeting parents, coaches, and adolescents are needed to decrease this risk.","Team sports participation entailed a higher injury risk, whatever the injury category. The study shows that participation in a sport that adolescents perceive as emphasizing weight is strongly associated with unhealthful weight-control behaviors and steroid use. Preventive efforts, targeting parents, coaches, and adolescents are needed to decrease this risk.",Insufficient evidence available to answer reliably.,0.1427,insufficient,0.8409090909090908,0.3333333333333333,0.33707865168539325,0.33707865168539325,0.0,0.744186046511628,0.1276595744680851,0.06896551724137932,0.06896551724137932,0.0,0.7045454545454547,0.2916666666666667,0.2247191011235955,0.2247191011235955,0.0,0,1
Are phyllotaxis and rhizotaxis in Arabidopsis modified by three PLETHORA transcription factors?,"Intriguingly PLT 3, PLT5, and PLT7 not only control the positioning of organs at the shoot meristem but also in the root; a striking observation that raises many evolutionary questions.",Cellular and Molecular Biology in Disease,"PLT 3, PLT5, and PLT7 not only control the positioning of organs at the shoot meristem but also in the root. The reduction of the binding capacity of transcription factors with their respective DNA binding elements may depend on structural changes within oligonucleotides induced by Ara-C incorporation.","AIP1 is a novel Agenet/Tudor domain protein in plants that could act as a link between DNA replication, transcription and chromatin remodeling during flower development. The apparent absence of CE3s in Arabidopsis suggests that another CE pairs with ABRE to establish a functional ABRC.","PLT 3, PLT5, and PLT7 not only control the positioning of organs at the shoot meristem but also in the root. The data suggest that the REM34, REM35 and REM36 group is the most interesting one. High levels of functional redundancy may conceal the exact function of these transcription factor genes.",Insufficient evidence available to answer reliably.,Insufficient evidence available to answer reliably.,0.159,insufficient,0.5384615384615384,0.16,0.54320987654321,0.0,0.0,0.5263157894736842,0.0,0.5063291139240508,0.0,0.0,0.5384615384615384,0.13333333333333333,0.54320987654321,0.0,0.0,1,1
Does incidence and risk factors of early venous thrombosis associated with permanent pacemaker lead?,Established risk factors for venous thrombosis and the presence of multiple pacemaker leads contribute substantially to the occurrence of thrombosis associated with permanent pacemaker leads. Risk factor assessment prior to implantation may be useful for identifying patients at risk for thrombotic complications. Preventive management in these patients is warranted.,Chronic Conditions and Treatment Outcomes,VTE does not share strong familial susceptibility with ischemic stroke in the Swedish population. Risk factor assessment prior to implantation may be useful for identifying patients at risk for thrombotic complications. Withholding prophylaxis in low-risk patients can reduce hospital charges without risk.,Myocardial ischemia during pacemaker stress echocardiography is an independent predictor of cardiac death and all-cause mortality in patients with a permanent pacemaker. The air sensitivity and SNR in tripolar and tetrapolar ICD lead vectors did not differ significantly and were in the range of the values in pacemaker leads currently used as MV sensors.,"Risk factors for DVT include prolonged immobility, surgery or trauma, pregnancy, obesity, oral contraceptive use, some medical conditions (e.g., cancer, inherited thrombophilias), and advanced age. Unprovoked proximal DVT is the most important risk factor for the occurrence of silent PE.","Risk factors for DVT include prolonged immobility, surgery or trauma, pregnancy, obesity, oral contraceptive use, some medical conditions (e.g., cancer, inherited thrombophilias), and advanced age. Unprovoked proximal DVT is the most important risk factor for the occurrence of silent PE.",Insufficient evidence available to answer reliably.,0.173,insufficient,0.47826086956521735,0.28846153846153844,0.2888888888888889,0.2888888888888889,0.0,0.35555555555555557,0.03921568627450981,0.11363636363636363,0.11363636363636363,0.0,0.43478260869565216,0.15384615384615383,0.17777777777777776,0.17777777777777776,0.0,0,1
Is routine repeat head CT for minimal head injury unnecessary?,RRHCT is unnecessary in patients with MHI. Clinical examination identifies accurately the few who will show significant evolution and require intervention.,Clinical Practices and Medical Devices,"In Japan, integration of WBCT into initial trauma management may decrease mortality in BT patients with a GCS score of 3 to 12 for whom head CT is indicated. Implementation of a standardized TS decreased MIs by 36% in our Level I trauma center. More timely TS would likely have further reduced MIs.","Routine head CT scans to assess for brain injury in the multiply injured patient are also very useful in the diagnosis of unsuspected facial fractures. MRI is slightly superior to CT in detecting subdural hematoma, but CT is faster and more readily available. Rarely, angiography may be used to diagnose sub dural haematoma.","Routine head CT scans to assess for brain injury in the multiply injured patient are also very useful in the diagnosis of unsuspected facial fractures. In otherwise stable patients, a normal cranial CT scan can identify patients to be safely discharged from the emergency department, and would be more cost-effective than 1 to 2 days of hospital observation.","Routine head CT scans to assess for brain injury in the multiply injured patient are also very useful in the diagnosis of unsuspected facial fractures. In otherwise stable patients, a normal cranial CT scan can identify patients to be safely discharged from the emergency department, and would be more cost-effective than 1 to 2 days of hospital observation.",Insufficient evidence available to answer reliably.,0.2269,insufficient,0.10810810810810811,0.13513513513513511,0.125,0.125,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0810810810810811,0.10810810810810811,0.125,0.125,0.0,0,1
What is (are) Kawasaki Disease ?,"Kawasaki disease is a rare childhood disease. It makes the walls of the blood vessels in the body become inflamed. It can affect any type of blood vessel, including the arteries, veins, and capillaries. No one knows what causes Kawasaki disease. Symptoms include - High fever that lasts longer than 5 days - Swollen lymph nodes in the neck - A rash on the mid-section and genital area - Red, dry, cracked lips and a red, swollen tongue - Red, swollen palms of the hands and soles of the feet - Redness of the eyes Kawasaki disease can't be passed from one child to another. There is no single test. To diagnose it, doctors look at the signs and symptoms. They may also use an echocardiogram or other tests. It is mainly treated with medicines. Rarely, medical procedures and surgery also may be used for children whose coronary arteries are affected. Kawasaki disease can't be prevented. However, most children who develop the disease fully recover - usually within weeks of getting signs and symptoms. Further problems are rare. NIH: National Heart, Lung, and Blood Institute",4_MPlus_Health_Topics_QA,"Kawasaki disease is a sudden and time-limited (acute) illness that affects infants and young children. Affected children develop a prolonged fever lasting several days, a skin rash, and swollen lymph nodes in the neck. They also develop redness in the whites of the eyes (conjunctivitis) and redness (erythema) of the lips, lining of the mouth (oral mucosa), tongue, palms of the hands, and soles of the feet.",Kawasaki disease affects children of all races and ages and both genders. It occurs most often in children of Asian and Pacific Island descent. The disease is more likely to affect boys than girls. Most cases occur in children younger than 5 years old. Kawasaki disease is rare in children older than 8.,"Kawasaki disease is a sudden and time-limited illness that affects infants and young children. Affected children develop a prolonged fever lasting several days, a skin rash, and swollen lymph nodes in the neck. They also develop redness in the whites of the eyes (conjunctivitis) and redness (erythema) of the lips, lining of the mouth (oral mucosa), tongue, palms of the hands, and soles of the feet.",Insufficient evidence available to answer reliably.,"Kawasaki disease is a sudden and time-limited illness that affects infants and young children. Affected children develop a prolonged fever lasting several days, a skin rash, and swollen lymph nodes in the neck. They also develop redness in the whites of the eyes (conjunctivitis) and redness (erythema) of the lips, lining of the mouth (oral mucosa), tongue, palms of the hands, and soles of the feet.",0.5364,escalate,0.4016064257028113,0.2136752136752137,0.40322580645161293,0.0,0.40322580645161293,0.16194331983805665,0.04310344827586207,0.16260162601626016,0.0,0.16260162601626016,0.23293172690763053,0.1452991452991453,0.2338709677419355,0.0,0.2338709677419355,1,0
What are the treatments for tubular aggregate myopathy ?,These resources address the diagnosis or management of tubular aggregate myopathy: - Genetic Testing Registry: Myopathy with tubular aggregates These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,3_GHR_QA,"Tubular aggregate myopathy can be caused by mutations in the STIM1 gene. The protein produced from this gene is involved in controlling the entry of positively charged calcium atoms (calcium ions) into cells. Mutations in other genes, some of which have not been identified, are also thought to cause some cases.","Tubular aggregate myopathy is a very rare muscle disease where the presence of tubular aggregates represent the major, if not sole, pathologic change in the muscle cell. It is often characterized by muscle weakness or stiffness, cramps, and exercise induced muscle fatigue. The exact cause of the condition is unknown.","Tubular aggregate myopathy is a disorder that primarily affects the skeletal muscles. It causes muscle pain, cramping, or weakness that begins in childhood and worsens over time. Affected individuals can have difficulty running, climbing stairs, or getting up from a squatting position.",Insufficient evidence available to answer reliably.,Insufficient evidence available to answer reliably.,0.0845,insufficient,0.16842105263157894,0.2553191489361702,0.1627906976744186,0.0,0.0,0.04301075268817204,0.08695652173913043,0.04761904761904762,0.0,0.0,0.1263157894736842,0.1914893617021277,0.11627906976744186,0.0,0.0,1,1
